gene symbol,ID,type of marker,Source/PMID
H2-D1,ENSMUST00000172785,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
H1f0,ENSMUST00000180086,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Tmem176b,ENSMUST00000166247,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Bcl7b,ENSMUST00000031692,age,other
Cdh13,ENSMUST00000117160,age,other
Foxa2,ENSMUST00000109964,age,other
Grin2a,ENSMUST00000199708,age,other
Il1r1,ENSMUST00000114795,age,other
Nrg1,ENSMUST00000207470,age,other
Rpa3,ENSMUST00000012627,age,other
Fgf17,ENSMUST00000022697,age,other: https://doi.org/10.1038/s41586-022-04722-0
Fgfr3,ENSMUST00000202138,age,other: https://doi.org/10.1038/s41586-022-04722-0
Fmo2,ENSMUST00000045902,age,Xiaowei
Gpc5,ENSMUST00000176912,age,Xiaowei
Neat1,ENSMUST00000174287,age,Xiaowei
Xdh,ENSMUST00000024866,age,Xiaowei
5033421B08Rik,ENSMUST00000219595,age,Xiaowei
9330185C12Rik,ENSMUST00000180837,age,Xiaowei
9530026P05Rik,ENSMUST00000204609,age,Xiaowei
Adam12,ENSMUST00000067680,age,Xiaowei
Adgrg6,ENSMUST00000041168,age,Xiaowei
Adra1a,ENSMUST00000159365,age,Xiaowei
Ank2,ENSMUST00000044443,age,Xiaowei
Arhgap6,ENSMUST00000112131,age,Xiaowei
Atp10b,ENSMUST00000077659,age,Xiaowei
Axl,ENSMUST00000002677,age,Xiaowei
B230323A14Rik,ENSMUST00000180488,age,Xiaowei
Brinp3,ENSMUST00000166814,age,Xiaowei
C130026I21Rik,ENSMUST00000161685,age,Xiaowei
Casr,ENSMUST00000063597,age,Xiaowei
Cd9,ENSMUST00000032492,age,Xiaowei
Cdkn1a,ENSMUST00000233296,age,Xiaowei
Chrm3,ENSMUST00000187510,age,Xiaowei
Cldn34c1,ENSMUST00000153946,age,Xiaowei
Cntnap5b,ENSMUST00000188735,age,Xiaowei
Col11a1,ENSMUST00000092155,age,Xiaowei
Col4a3,ENSMUST00000152664,age,Xiaowei
Creb5,ENSMUST00000205120,age,Xiaowei
Crispld1,ENSMUST00000095075,age,Xiaowei
Ctsd,ENSMUST00000151120,age,Xiaowei
Dgki,ENSMUST00000101532,age,Xiaowei
Dpp10,ENSMUST00000112603,age,Xiaowei
Dpysl3,ENSMUST00000121805,age,Xiaowei
E2f3,ENSMUST00000221536,age,Xiaowei
Ebf1,ENSMUST00000081265,age,Xiaowei
Fbln2,ENSMUST00000113498,age,Xiaowei
Fbn2,ENSMUST00000025497,age,Xiaowei
Fstl5,ENSMUST00000038364,age,Xiaowei
Glis3,ENSMUST00000162022,age,Xiaowei
Greb1,ENSMUST00000048064,age,Xiaowei
Grin3a,ENSMUST00000076674,age,Xiaowei
Hif3a,ENSMUST00000108492,age,Xiaowei
Hivep3,ENSMUST00000141605,age,Xiaowei
Hs3st3a1,ENSMUST00000058652,age,Xiaowei
Igf1,ENSMUST00000095360,age,Xiaowei
Igf2bp3,ENSMUST00000203863,age,Xiaowei
Itga8,ENSMUST00000028106,age,Xiaowei
Itgb2,ENSMUST00000000299,age,Xiaowei
Lcorl,ENSMUST00000045586,age,Xiaowei
Lilrb4a,ENSMUST00000219388,age,Xiaowei
Lrrc9,ENSMUST00000162159,age,Xiaowei
Lsamp,ENSMUST00000145951,age,Xiaowei
Luzp2,ENSMUST00000082373,age,Xiaowei
Ly6a,ENSMUST00000189068,age,Xiaowei
